,exact_match,f1
convbert_exp_0_epochs_0,27.266666666666666,38.21425979593626
convbert_exp_0_epochs_1,32.03333333333333,42.22163615146648
convbert_exp_0_epochs_2,31.4,42.76453846743928
convbert_exp_0_epochs_3,31.466666666666665,42.25036757353443
convbert_exp_0_epochs_4,32.266666666666666,43.058631731420725
convbert_exp_0_epochs_5,32.3,44.16546629302904
convbert_exp_1_epochs_0,30.566666666666663,42.54409710562725
convbert_exp_1_epochs_1,35.1,46.35313607818511
convbert_exp_1_epochs_2,36.4,47.72986251183349
convbert_exp_1_epochs_3,35.93333333333333,48.15356146569792
convbert_exp_1_epochs_4,34.9,47.98038875709932
electra_exp_0_epochs_0,37.13333333333333,48.31498790330017
electra_exp_0_epochs_1,36.833333333333336,49.43199105052515
electra_exp_0_epochs_2,40.13333333333333,52.04288044089275
electra_exp_0_epochs_3,38.8,51.54049179559815
electra_exp_0_epochs_4,38.266666666666666,50.40266838915746
electra_exp_1_epochs_0,29.533333,40.047647
electra_exp_1_epochs_1,33.433333,44.156314
electra_exp_2_epochs_0,0.2,5.774806
electra_exp_3_epochs_0,35.1,47.39792699208963
electra_exp_3_epochs_1,0.06666666666666667,5.513847337583286
electra_exp_4_epochs_0,37.233333333333334,48.62794679451737
electra_exp_4_epochs_1,41.6,52.94108325731128
electra_exp_4_epochs_2,41.63333333333333,53.402794819262304
roberta_exp_0_epochs_0,34.53333333333333,45.815760523737396
roberta_exp_0_epochs_1,38.03333333333333,49.28875280681617
roberta_exp_0_epochs_2,39.46666666666667,51.163107132156945
roberta_exp_1_epochs_0,32.3,43.396275470549845
